1915,2023/06/03,not get price
1917,2023/06/03,not get price
1918,2023/06/03,not get price
1920,2023/06/02,not get price
1922,2023/06/03,not get price
1923,2023/06/03,not get price
1927,2023/06/03,not get price
1947,2023/06/03,not get price
1953,2023/06/03,not get price
1958,2023/06/02,not get price
1962,2023/06/02,not get price
1974,2023/06/02,not get price
1977,2023/06/02,not get price
1991,2023/06/02,not get price
1993,2023/06/03,not get price
1996,2023/06/02,not get price
2000,2023/06/03,not get price
2005,2023/06/02,not get price
2007,2023/06/03,not get price
2010,2023/06/03,not get price
2011,2023/06/02,not get price
2012,2023/06/02,not get price
2013,2023/06/03,not get price
2014,2023/06/03,not get price
2015,2023/06/03,not get price
2016,2023/06/03,not get price
2017,2023/06/03,not get price
2018,2023/06/03,not get price
2019,2023/06/03,not get price
2020,2023/06/02,not get price
2054,2023/06/02,not get price
2061,2023/06/02,not get price
2062,2023/06/03,not get price
2063,2023/06/02,not get price
2064,2023/06/03,not get price
2074,2023/06/02,not get price
2075,2023/06/03,not get price
2076,2023/06/03,not get price
2077,2023/06/02,not get price
2078,2023/06/02,not get price
2079,2023/06/02,not get price
2080,2023/06/02,not get price
2081,2023/06/02,not get price
2082,2023/06/02,not get price
2083,2023/06/02,not get price
2084,2023/06/02,not get price
2085,2023/06/03,not get price
2086,2023/06/03,not get price
2087,2023/06/02,not get price
2088,2023/06/02,not get price
2089,2023/06/02,not get price
2090,2023/06/02,not get price
2091,2023/06/03,not get price
2092,2023/06/02,not get price
2093,2023/06/03,not get price
2094,2023/06/03,not get price
2095,2023/06/02,not get price
2096,2023/06/02,not get price
2097,2023/06/03,not get price
2098,2023/06/02,not get price
2099,2023/06/02,not get price
2100,2023/06/02,not get price
2101,2023/06/02,not get price
2102,2023/06/03,not get price
2103,2023/06/03,not get price
2104,2023/06/03,not get price
2105,2023/06/02,not get price
2106,2023/06/03,not get price
2110,2023/06/02,not get price
2111,2023/06/03,not get price
2115,2023/06/02,not get price
2118,2023/06/02,not get price
2119,2023/06/02,not get price
2125,2023/06/02,not get price
2129,2023/06/03,not get price
2141,2023/06/02,not get price
2161,2023/06/02,not get price
2171,2023/06/02,not get price
2184,2023/06/03,not get price
2187,2023/06/03,not get price
2188,2023/06/03,not get price
2189,2023/06/02,not get price
2192,2023/06/03,not get price
2194,2023/06/02,not get price
2197,2023/06/02,not get price
2199,2023/06/03,not get price
2200,2023/06/03,not get price
2203,2023/06/03,not get price
2205,2023/06/03,not get price
2210,2023/06/03,not get price
2213,2023/06/03,not get price
2214,2023/06/03,not get price
2219,2023/06/03,not get price
2223,2023/06/03,not get price
2225,2023/06/02,not get price
2230,2023/06/02,not get price
2231,2023/06/03,not get price
2232,2023/06/03,not get price
2233,2023/06/02,not get price
2234,2023/06/03,not get price
2250,2023/06/02,not get price
2251,2023/06/03,not get price
2252,2023/06/02,not get price
2253,2023/06/02,not get price
2254,2023/06/02,not get price
2255,2023/06/02,not get price
2256,2023/06/03,not get price
2257,2023/06/03,not get price
2258,2023/06/03,not get price
2259,2023/06/03,not get price
2260,2023/06/03,not get price
2263,2023/06/03,not get price
2265,2023/06/03,not get price
2271,2023/06/03,not get price
2272,2023/06/03,not get price
2273,2023/06/03,not get price
2274,2023/06/02,not get price
2275,2023/06/03,not get price
2276,2023/06/03,not get price
2277,2023/06/03,not get price
2278,2023/06/02,not get price
2279,2023/06/02,not get price
2280,2023/06/03,not get price
2283,2023/06/02,not get price
2285,2023/06/03,not get price
