1311,2025/01/15,120,-1310,40,1,0,0,0,0
1311,2025/01/14,1430,-500,0,500,0,0,0,0
1311,2025/01/10,1930,20,30,10,0,0,0,0
1311,2025/01/09,1910,-450,50,500,0,-20,0,20
1311,2025/01/08,2360,2000,2,350,20,-520,0,520
1311,2025/01/07,360,130,350,220,540,540,540,0
1311,2025/01/06,230,220,220,0,0,0,0,0
1319,2025/01/15,1000,0,0,0,1000,0,0,0
1319,2025/01/14,1000,0,0,0,1000,0,0,0
1319,2025/01/10,1000,0,0,0,1000,0,0,0
1319,2025/01/09,1000,0,0,0,1000,0,0,0
1319,2025/01/08,1000,0,0,0,1000,0,0,0
1319,2025/01/07,1000,0,0,0,1000,0,0,0
1319,2025/01/06,1000,0,0,0,1000,0,0,0
1322,2025/01/15,5000,0,0,0,0,0,0,0
1322,2025/01/14,5000,0,0,0,0,0,0,0
1322,2025/01/10,5000,0,0,0,0,0,0,0
1322,2025/01/09,5000,0,0,0,0,0,0,0
1322,2025/01/08,5000,0,0,0,0,0,0,0
1322,2025/01/07,5000,0,0,0,0,0,0,0
1322,2025/01/06,5000,0,0,0,0,0,0,0
1325,2025/01/15,2200,-900,100,1,0,0,0,0
1325,2025/01/14,3100,0,0,0,0,0,0,0
1325,2025/01/10,3100,0,0,0,0,0,0,0
1325,2025/01/09,3100,100,100,0,0,0,0,0
1325,2025/01/08,3000,600,1,000,0,0,0,0
1325,2025/01/07,2400,400,400,0,0,-300,0,300
1325,2025/01/06,2000,0,0,0,300,300,300,0
1328,2025/01/15,7050,90,110,20,50,-70,10,80
1328,2025/01/14,6960,230,240,10,120,30,40,10
1328,2025/01/10,6730,-880,20,900,90,80,80,0
1328,2025/01/09,7610,-100,10,110,10,0,0,0
1328,2025/01/08,7710,-1100,0,1,10,0,0,0
1328,2025/01/07,8810,180,300,120,10,0,0,0
1328,2025/01/06,8630,-2370,160,2,10,0,0,0
1356,2025/01/15,165900,21190,36,650,43990,18420,18,760
1356,2025/01/14,144710,-20830,1,840,25570,-9230,580,9
1356,2025/01/10,165540,2500,5,000,34800,22620,23,240
1356,2025/01/09,163040,-15140,0,15,12180,-11820,1,390
1356,2025/01/08,178180,17200,18,980,24000,10530,10,840
1356,2025/01/07,160980,4080,5,020,13470,-50,0,50
1356,2025/01/06,156900,12610,15,000,13520,12170,12,170
1358,2025/01/15,2207,-1786,24,1,398,-5,5,10
1358,2025/01/14,3993,2458,2,458,403,-902,0,902
1358,2025/01/10,1535,-265,392,657,1305,-465,0,465
1358,2025/01/09,1800,1136,1,136,1770,-975,20,995
1358,2025/01/08,664,0,5,5,2745,-872,0,872
1358,2025/01/07,664,-3157,1,3,3617,2063,2,139
1358,2025/01/06,3821,2821,3,563,1554,-736,161,897
1365,2025/01/15,2354,115,280,165,30,-16,0,16
1365,2025/01/14,2239,117,371,254,46,-38,34,72
1365,2025/01/10,2122,583,584,1,84,-105,8,113
1365,2025/01/09,1539,-1052,462,1,189,-1429,1,1
1365,2025/01/08,2591,1656,1,656,1618,-1141,256,1
1365,2025/01/07,935,-947,10,957,2759,2503,2,596
1365,2025/01/06,1882,898,908,10,256,-265,93,358
1366,2025/01/15,170109,-12880,1,230,0,-98,0,98
1366,2025/01/14,182989,-39930,9,605,98,98,98,0
1366,2025/01/10,222919,-12458,1,490,0,0,0,0
1366,2025/01/09,235377,-24370,39,692,0,0,0,0
1366,2025/01/08,259747,-56904,1,801,0,0,0,0
1366,2025/01/07,316651,105596,105,596,0,0,0,0
1366,2025/01/06,211055,-84201,2,000,0,0,0,0
1367,2025/01/15,212,-3255,9,3,23,0,0,0
1367,2025/01/14,3467,-931,341,1,23,-8043,0,8
1367,2025/01/10,4398,-111,9,120,8066,-22,0,22
1367,2025/01/09,4509,-1282,172,1,8088,-35,5,40
1367,2025/01/08,5791,-1253,906,2,8123,-30,0,30
1367,2025/01/07,7044,1447,1,512,8153,26,26,0
1367,2025/01/06,5597,3186,3,190,8127,-10556,0,10
1368,2025/01/15,1615,282,594,312,905,-345,0,345
1368,2025/01/14,1333,0,0,0,1250,269,300,31
1368,2025/01/10,1333,0,0,0,981,-22,0,22
1368,2025/01/09,1333,-635,0,635,1003,-965,23,988
1368,2025/01/08,1968,-4370,947,5,1968,991,991,0
1368,2025/01/07,6338,5297,5,297,977,34,34,0
1368,2025/01/06,1041,-1,0,1,943,243,243,0
1376,2025/01/15,800,-300,0,300,0,0,0,0
1376,2025/01/14,1100,0,0,0,0,0,0,0
1376,2025/01/10,1100,100,100,0,0,0,0,0
1376,2025/01/09,1000,500,600,100,0,0,0,0
1376,2025/01/08,500,500,500,0,0,0,0,0
1380,2025/01/15,100,-100,0,100,0,0,0,0
1380,2025/01/14,200,0,0,0,0,0,0,0
1380,2025/01/10,200,0,0,0,0,0,0,0
1380,2025/01/09,200,0,0,0,0,0,0,0
1380,2025/01/08,200,100,100,0,0,0,0,0
1380,2025/01/07,100,0,0,0,0,0,0,0
1380,2025/01/06,100,100,100,0,0,0,0,0
1381,2025/01/15,300,0,0,0,0,0,0,0
1381,2025/01/14,300,0,0,0,0,0,0,0
1381,2025/01/10,300,0,0,0,0,0,0,0
1381,2025/01/09,300,0,0,0,0,0,0,0
1381,2025/01/08,300,0,0,0,0,0,0,0
1381,2025/01/07,300,0,0,0,0,0,0,0
1381,2025/01/06,300,-300,0,300,0,0,0,0
1382,2025/01/15,2000,-800,0,800,0,0,0,0
1382,2025/01/14,2800,300,300,0,0,0,0,0
1382,2025/01/10,2500,100,100,0,0,0,0,0
